ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
"Card Campaign","2014-01-12 13:59:08",-5100,"126275 LOBATSE VALUE STOR BOTSWANA      BW",DEDUCT,0004012359483044,0,P_Nzc1Mjc4NTdfMTM4NDc5MjU5Ni44MDAx,
"Card Campaign","2014-01-12 13:59:45",-60000,"CHOPPIES MASUNGA MALL     BOTSWANA      BW",DEDUCT,0384012359854815,1,P_NzI0NDQzNzlfMTM4NjI1MTI5MS4yNzY4,
"Card Campaign","2014-01-12 14:03:22",-1895,"Shoppers Palapye102969    Palapye       BW",DEDUCT,0284012507826582,0,P_NzIxNDExMjdfMTM3ODczNzIzOS44OTU=,
"Card Campaign","2014-01-12 14:14:56",-200000,"FRANCISTOWN INDUSTRIAL    FRANCISTOWN   BW",DEDUCT,0584012369954567,1,P_NzI3NDM4OTZfMTM3Nzc2MjAxMS44MTEx,
"Card Campaign","2014-01-12 14:16:06",-45000,"791604 BAKGATLA FILLING S BOTSWANA      BW",DEDUCT,0164012369679621,0,P_NzIxOTI2MDZfMTM4MTE1MjMxNS4zNTkz,
"Card Campaign","2014-01-12 14:16:10",-14722,"029735 PEP 8310           BOTSWANA      BW",DEDUCT,0004012369716247,0,P_NzI0NTc2MjRfMTM4MTQ3ODYxMi4zMDE2,
"Card Campaign","2014-01-12 14:16:24",-10000,"TRUWORTHS                 BOTSWANA      BW",DEDUCT,0384012369849844,1,P_NzI3NDUxNDRfMTM4NDM1MDQ5NC4yMTUx,
"Card Campaign","2014-01-12 14:16:50",-4000,"MAUN BRANCH               MAUN          BW",DEDUCT,0384012371096427,1,P_NzIyMDM0OTBfMTM4MzY2MDE0MS4yMjc5,
"Card Campaign","2014-01-12 14:29:45",-2140,"292051 CHOPPIES VALUE STO BOTSWANA      BW",DEDUCT,0164012377851507,0,P_NzI0NTc2MjRfMTM4MTQ3ODYxMi4zMDE2,
"Card Campaign","2014-01-12 14:33:35",-10000,"GABORONE INDUSTRIAL       GAB           BW",DEDUCT,0304012380154471,1,P_NzIzNTI4NDlfMTM4MzgwOTUyMS41ODkx,
"Card Campaign","2014-01-12 14:34:22",-10000,"BROADHURST INDUSTRIAL     BROADHURST    BW",DEDUCT,0584012380626899,1,P_NzIxOTIyMjlfMTM3OTY5MDI2Ny41MzI5,
"Card Campaign","2014-01-12 14:35:48",-11797,"726796 PEP STORES RAIL PA BOTSWANA      BW",DEDUCT,0004012381483479,0,P_NzI0NzY4MDZfMTM3NzYxNjA4OC4yNTY4,
"Card Campaign","2014-01-12 14:36:21",-40000,"EASY PLAN RAILWAY         GABORONE      BW",DEDUCT,0464012381818320,1,P_NzI0ODc5NzhfMTM4NjA1OTI2My45NTIy,
"Card Campaign","2014-01-12 14:36:39",-10000,"SELEBI PHIKWE 1           GABORONE      BW",DEDUCT,0464012381991754,1,P_NzIyMDkwNThfMTM4NTQ2MzIyMS45OTgx,
"Card Campaign","2014-01-12 14:38:17",-15000,"*SHAKAWE                  SHAKAWE       BW",DEDUCT,0584012526979397,1,P_Nzc1MjIwNDBfMTM4NTE5MTQyNy4yMjE2,
"Card Campaign","2014-01-12 14:39:46",-10000,"MOLEPOLOLE                GABARONE      BW",DEDUCT,0304012455870729,1,P_Nzc1Mjk5NjJfMTM4OTM0NjY3Mi40MTg2,
"Card Campaign","2014-01-12 14:41:59",-50000,"BUS RANK ATM 1            JOHANNESBURG  BW",DEDUCT,0384012385199947,1,P_NzIxOTIyNDhfMTM4OTM2NTAwMi42MzAz,
"Card Campaign","2014-01-12 14:43:27",-50000,"*GHANZI                   GHANZI        BW",DEDUCT,0584012530089720,1,P_NzUwMDkzNThfMTM3ODc5NzQxNy43MjM4,
"Card Campaign","2014-01-12 14:44:47",-10000,"MARKUS CALTEX FILLING     BW            BW",DEDUCT,0584012386873412,1,P_NzI1OTk5MDBfMTM4NTczNjUzNi4zNTcz,
"Card Campaign","2014-01-12 14:44:53",-30000,"*TONOTA                   FRANCISTOWN   BW",DEDUCT,0384012530931813,1,P_NzQzNDA1NjBfMTM4MjM0MzYwMi40NzM5,
"Card Campaign","2014-01-12 14:47:52",-19770,"578939 WIMPY PHAKALANE    BOTSWANA      BW",DEDUCT,0284012388727189,0,P_NzI2NDM5OTlfMTM4MzY1MzIwNS4yMzQ=,
